tedlist,Staid,ted_type,lat,long,Citation
nwis_10133650,10133650,sitelist,40.723838,-111.519644,Working on it
nwis_11285500,11285500,sitelist,37.878333,-120.294722,Working on it
nwis_11463682,11463682,sitelist,38.658242,-122.829438,Working on it
nwis_11465240,11465240,sitelist,38.653244,-122.927219,Working on it
nwis_13173600,13173600,sitelist,43.730993,-117.071826,Working on it
nwis_01184000,1184000,sitelist,41.987319,-72.605367,Falcone et al. 2017
nwis_03374100,3374100,sitelist,38.48977,-87.550023,Falcone et al. 2017
nwis_05420500,5420500,sitelist,41.780586,-90.252073,Falcone et al. 2017
nwis_06805500,6805500,sitelist,41.015278,-96.157778,Falcone et al. 2017
nwis_06818000,6818000,sitelist,39.75325,-94.856833,Falcone et al. 2017
nwis_06934500,6934500,sitelist,38.709806,-91.4385,Falcone et al. 2017
nwis_11447650,11447650,sitelist,38.45602,-121.501344,Falcone et al. 2017
nwis_01104430,1104430,sitelist,42.398151,-71.27339,Wieczorek 2012
nwis_01124000,1124000,sitelist,42.022319,-71.955629,Wieczorek 2012
nwis_01125100,1125100,sitelist,41.978464,-71.900514,Wieczorek 2012
nwis_01193050,1193050,sitelist,41.541766,-72.553145,Wieczorek 2012
nwis_01196500,1196500,sitelist,41.450264,-72.841275,Wieczorek 2012
nwis_01201487,1201487,sitelist,41.465822,-73.403203,Wieczorek 2012
nwis_01208500,1208500,sitelist,41.4423,-73.062283,Wieczorek 2012
nwis_01388000,1388000,sitelist,40.991944,-74.28,Wieczorek 2012
nwis_01400500,1400500,sitelist,40.555556,-74.582778,Wieczorek 2012
nwis_01408500,1408500,sitelist,39.986389,-74.223333,Wieczorek 2012
nwis_01433500,1433500,sitelist,41.461389,-74.758889,Wieczorek 2012
nwis_01454700,1454700,sitelist,40.669266,-75.236288,Wieczorek 2012
nwis_01463500,1463500,sitelist,40.221667,-74.778056,Wieczorek 2012
nwis_01473500,1473500,sitelist,40.111219,-75.34685,Wieczorek 2012
nwis_01474500,1474500,sitelist,39.967891,-75.188512,Wieczorek 2012
